,loan_id,infringed,contract_type,gender,has_own_car,has_own_realty,num_children,annual_income,credit_amount,credit_annuity,goods_valuation,income_type,education,family_status,housing_type,age,days_employed,car_age,occupation_type,num_family_members,region_rating,organization_type,score_ext_1,score_ext_2,score_ext_3,num_req_bureau_hour,num_req_bureau_day,num_req_bureau_week,num_req_bureau_month,num_req_bureau_qrt,num_req_bureau_year,past_avg_amount_annuity,past_avg_amt_application,past_avg_amt_credit,past_loans_approved,past_loans_refused,past_loans_canceled,past_loans_unused,past_loans_total
0,0,0,Cash loans,M,Y,Y,0,123665.0,282685.0,59028.2,638716.0,Working,Secondary / secondary special,Separated,Rented apartment,41,-597,0.0,Managers,4.0,2,Postal,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,45207.0,78603.0,142963.0,2.0,0.0,2.0,1.0,1.0
1,1,0,Cash loans,F,Y,Y,1,203341.0,1099911.0,23749.5,632319.0,Working,Secondary / secondary special,Civil marriage,House / apartment,41,-1472,4.0,Laborers,2.0,2,Transport: type 4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1582.0,181073.0,162961.0,4.0,1.0,1.0,0.0,2.0
2,2,0,Cash loans,F,Y,Y,1,297057.0,455496.0,59625.7,931179.0,Commercial associate,Higher education,Single / not married,House / apartment,33,-1698,11.0,HR staff,2.0,2,Business Entity Type 3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7743.0,169965.0,97822.0,2.0,2.0,1.0,0.0,2.0
3,3,0,Cash loans,F,Y,Y,0,252207.0,393595.0,35386.7,338478.0,Commercial associate,Secondary / secondary special,Married,House / apartment,29,-716,0.0,Core staff,1.0,2,Self-employed,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,10561.0,51522.0,411713.0,6.0,1.0,2.0,0.0,1.0
4,4,1,Cash loans,F,Y,Y,1,165343.0,579514.0,11711.4,447339.0,Working,Higher education,Married,House / apartment,46,-3913,6.0,Accountants,1.0,2,Self-employed,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2743.0,1002820.0,45201.0,5.0,1.0,1.0,0.0,8.0
5,5,0,Cash loans,F,Y,N,1,220932.0,355867.0,10769.5,1054560.0,Working,Higher education,Married,Co-op apartment,24,-116,9.0,Laborers,2.0,2,Industry: type 7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7671.0,64098.0,194846.0,3.0,1.0,0.0,0.0,1.0
6,6,0,Cash loans,M,Y,N,0,230379.0,327798.0,31847.6,338874.0,Working,Secondary / secondary special,Married,House / apartment,41,-2630,18.0,Core staff,3.0,2,Business Entity Type 1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,23908.0,477765.0,87445.0,5.0,2.0,0.0,0.0,5.0
7,7,0,Cash loans,F,Y,N,0,174346.0,357101.0,32799.1,479163.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,41,-661,3.0,Drivers,4.0,2,Military,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,20444.0,361843.0,72183.0,5.0,0.0,0.0,0.0,9.0
8,8,0,Cash loans,M,Y,N,0,153926.0,1091892.0,34865.7,411727.0,Working,Secondary / secondary special,Civil marriage,House / apartment,30,-742,19.0,Core staff,1.0,3,Government,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,11725.0,108942.0,34508.0,5.0,1.0,0.0,0.0,3.0
9,9,0,Cash loans,F,Y,Y,1,138087.0,639747.0,28436.9,281493.0,Working,Higher education,Married,House / apartment,28,-1813,10.0,Core staff,3.0,2,School,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10572.0,160084.0,52416.0,2.0,0.0,1.0,1.0,2.0
